SubName,SubAddress,SubEmail,SubTrait,SubPhoneNumber,InvitationStatus,BidStatus,QuoteRecieved,Project,ProjectAddress
UPLAND CONTRACTING INC,,,,(909) 983 3656,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RDM ELECTRIC CO INC,,,,(909) 591 0990,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ACI BUILDERS,,,,(951) 727 8743,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WOLVERINE FENCE COMPANY INC,,,,(562) 948 2030,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ASTROTURF CORPORATION,,,,(706) 876 5529,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MANHOLE BUILDERS INC,,,,(951) 681 0601,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ECONO FENCE INC,,,,(951) 685 5000,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
VORWALLER & BROOKS INC,,,,(760) 262 6300,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
VALLEY PIPELINE SERVICES INC,,,,(760) 610 5538,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SPECTRATURF,,,,(951) 736 3579,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ARCHITECTURAL SIGN IDENTITY INC,,,,(951) 654 4350,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CREATIVE CONTRACTORS CORPORATION,,,,(949) 295 9108,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONTRACT DECOR INC,,,,(760) 343 4444,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MILLER PANELING SPECIALTIES INC,,,,(703) 944 0369,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SMITH TREE SERVICE,,,,(530) 993 1352,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INLAND STEEL,,,,(909) 889 2747,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GLOBAL SPECIALTIES DIRECT INC,,,,(916) 381 5155,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GOTT W D CONSTRUCTION CO,,,,(909) 982 8951,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
YAMADA ENTERPRISES,,jr@yamadaenterprises.com,SITE FURNISHINGS,(714) 843 9882,Responsive,Invited,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MCKINLEY ELEVATOR CORPORATION,,,,(949) 261 9244,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KONE INC,,,,(309) 743 5574,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MCMURRAY STERN LLC,,,,(562) 623 3000,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DALINGHAUS CONSTRUCTION INC,,,,(877) 360 9227,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ENERGY TRANSFER SOLUTIONS LLC,,,,(951) 893 7580,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HERITAGE WINDOW COVERINGS INC,,,,(714) 842 4415,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PLUMBING CONCEPTS INC,,,,(951) 520 8590,msg,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GUNITE J G CALIFORNIA LIMITED PARTNERSHIP,,,,(760) 743 2605,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
EVOLUTION CONCRETE CONSTRUCTION,,,,(909) 762 6644,Responsive,Not Bidding,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COMMERCIAL ELECTRIC SYSTEMS INC,,,,(866) 359 9400,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PRESTIGE PAVING COMPANY,,,,(951) 270 2999,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RESIDENTIAL DESIGN SERVICES,,,,(714) 701 4282,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TINCO SHEET METAL INC,,,,(323) 263 0511,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIGN POST STUDIO LLC,,,,(760) 913 7446,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WESTERN STATE BUILDERS INC,,,,(760) 270 8639,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COMMERCIAL TREE CARE,,,,(818) 225 6855,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FIBER CARE BATHS INC,,,,(760) 246 0019,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TRUE HOME HEATING AND AIR CONDITIONING,,,,(949) 288 2024,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CLARK DEVELOPMENT GROUP INC,,,,(714) 921 4100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PADILLA CONSTRUCTION COMPANY,,,,(714) 685 8500,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KLEM W S CONTRACTOR INCORPORATED,,,,(310) 414 0455,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SOUTHCOAST ACOUSTICAL INTERIORS INC,,,,(909) 428 2600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INTEGRATED DEMOLITION AND REMEDIATION INCORPORATED,,,,(714) 340 3333,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PREFERRED CONSTRUCTION SPECIALTIES INC,,,,(714) 528 4300,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
K A R CONSTRUCTION INC,,,,(909) 988 5054,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
QUALITY REINFORCING INC,,,,(858) 748 8400,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFIC COAST GLAZING INC,,,,(619) 279 5000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
J P I  DEVELOPMENT GROUP INC,,,,(951) 973 7680,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
J L M DOORS INSTALLATIONS,,,,(714) 614 7306,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MC WIL SPORTS SURFACES INC,,,,(424) 233 1818,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SHELDON MECHANICAL CORPORATION,,,,(661) 286 1361,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
L 2 SPECIALTIES INC,,,,(714) 979 5507,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIERRA SCHOOL EQUIPMENT COMPANY,,,,(661) 399 2993,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MC MAHON STEEL COMPANY INC,,,,(619) 671 9700,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MONTGOMERY HARDWARE CO,,,,(909) 201 4000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FREMONT MILLWORK CO,,,,(541) 884 5554,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WESTCOR ENVIRONMENTAL INC,,,,(562) 677 3990,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TORO ENTERPRISES INC,,,,(805) 483 4515,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ABDELLATIF ENTERPRISES INC,,,,(949) 215 4790,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
NEW DIMENSION MASONRY INC,,,,(619) 276 5000,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HOWARD ROOFING COMPANY INCORPORATED,,,,(909) 622 5598,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PECORARO INC,,,,(619) 236 1730,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
T N SHEET METAL INC,,,,(714) 593 0100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
REY ART LANDSCAPE INC,,,,(714) 633 9900,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PROSPECTRA CONTRACT FLOORING,,,,(510) 477 7950,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ANNING - JOHNSON COMPANY,,,,(510) 670 0100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MOE H L CO INC,,,,(818) 240 2040,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SUPERIOR DOOR SYSTEMS,,,,(619) 562 0224,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
C D LYON INC,,,,(805) 653 0173,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ZOLNAY INSULATION INC,,,,(714) 912 4683,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
D S CONCRETE INC,,,,(707) 350 2243,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CASIGNS,,,,(818) 899 1888,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
C F O DOOR HARDWARE & SECURITY INC,,,,(714) 632 8116,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PROULX CONTRACTING INC,,,,(562) 630 8313,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFICOM,,,,(805) 987 1351,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONYERS DESMOND ROOFING,,,,(530) 906 5239,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INCLINATOR COMPANY OF CALIFORNIA,,,,(818) 509 8228,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
USS CAL BUILDERS INC,,,,(714) 828 4882,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
EAGLE CONTRACTING INC,,,,(562) 249 8131,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ACE FENCE COMPANY,,,,(626) 333 0727,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A I E M ELECTRIC,,,,(818) 504 8171,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TRIUMPH PAINTING,,,,(951) 680 9930,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BEN'S ASPHALT INC,,,,(714) 540 1700,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TIME AND ALARM SYSTEMS,,,,(951) 685 1761,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BITHELL INC,,,,(626) 255 8866,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
P S I,,,,(818) 618 2333,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A & G SALES,,,,(562) 803 1888,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CHAMELEON PAINTING & DECORATING,,,,(530) 386 1698,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PONCE COMPANY,,,,(562) 634 4932,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ROOFING STANDARDS INC,,,,(714) 993 9715,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ROMBERG EXCAVATION & OPERATIONS INC,,,,(562) 843 9600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
TERRA PAVE INC,,,,(562) 693 7283,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ACH MECHANICAL CONTRACTORS INC,,,,(909) 307 2850,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
I S R PAINTING & WALLCOVERING INC,,,,(562) 407 5217,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFIC SOUND CONTROL,,,,(714) 892 6022,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CIRCLE CITY ELECTRIC INC,,,,(951) 321 0633,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MARINA LANDSCAPE INC,,,,(714) 939 6600,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PROGRESSIVE SURFACE SOLUTIONS LLC,,,,(714) 586 5543,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KYA SERVICES LLC,,,,(714) 659 6476,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
LOAMIC CONCRETE,,,,(951) 772 6941,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
VALENCIA SHEET METAL INC,,,,(818) 896 5005,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SCHMITT CONTRACTING INC,,,,(714) 255 0550,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CALCOM ROOFING INC,,,,(951) 277 3886,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DEMOLITION X,,,,(323) 508 7598,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
3 IN 1 BATHTUB AND KITCHEN REFINISHING INC,,,,(619) 575 9253,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
POWER PLUS,,,,(714) 507 1881,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COAST BUILDING PRODUCTS,,,,(386) 763 8787,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
QUALITY FIRST WOODWORKS INC,,,,(714) 632 0480,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ORTCO INC,,,,(714) 998 3998,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FORE CONTRACTORS INC,,,,(951) 272 1322,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A F C O ELECTRIC INC,,,,(951) 973 3758,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DALKE & SONS CONSTRUCTION INC,,,,(951) 274 9880,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
R C CONSTRUCTION SERVICES,,,,(909) 829 3688,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
STOLO CABINETS INC,,,,(714) 529 7303,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DSM CONSTRUCTION INC,,,,(909) 464 1991,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SPECTRA WALL SYSTEMS INC,,,,(626) 334 6559,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DITTEMORE INSULATION CONTRACTORS INC,,,,(714) 289 7095,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
R BROTHERS INC,,,,(310) 696 9406,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SHACK PLUMBING,,,,(310) 678 2543,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PATRIOT PAVING INC,,,,(714) 283 0777,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
STATES WELDING,,,,(580) 279 0786,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
GUIRGUIS ELECTRIC,,,,(626) 412 0412,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HULK ENTERPRISES,,,,(714) 920 4912,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RADIX FIRE PROTECTION INC,,,,(213) 765 0384,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RC INTERNATIONAL ENTERPRISE,,,,(213) 557 0210,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
T - WALL ENTERPRISES INC,,,,(562) 352 0220,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PAINT BLAST US,,,,(714) 395 6173,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
R T CONTRACTOR CORP,,,,(714) 478 8421,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SPECTRA COMPANY,,,,(909) 599 0760,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BAYVIEW DEMOLITION SERVICES INC,,,,(510) 544 5270,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
FE STEEL COMPANY,,,,(951) 970 3785,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CAL COAST TELECOM,,,,(408) 275 8888,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
NEW IMAGE INTERIOR FLOORING,,,,(909) 796 7242,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CRANEVEYOR CORP,,,,(626) 442 1524,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ABC SCHOOL EQUIPMENT INC,,,,(951) 817 2200,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HI-TEK ELECON INC,,,,(213) 590 2233,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INTERCOM CLOCK & SIGNAL SERVICE,,,,(951) 683 3637,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
VIGALO CONSTRUCTION,,,,(805) 406 4534,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
WORTHINGTON CONSTRUCTION INC,,,,(951) 734 4950,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
H M FLOORING GROUP,,,,(310) 516 9272,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PENNER PARTITIONS INC,,,,(714) 666 0822,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MACKONE DEVELOPMENT INC,,,,(213) 252 9506,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
BARRERA'S LANDSCAPE,,,,(909) 915 8836,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HARDY & HARPER INC,,,,(714) 444 1851,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PCI,,,,(562) 218 0504,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
RW ELECTRICAL CONSTRUCTION,,,,(626) 224 8430,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CALIFORNIA LANDSCAPE & DESIGN INC,,,,(909) 949 1601,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
HARRIS STEEL FENCE CO,,,,(323) 751 4104,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SURFACING SOLUTIONS INC,,,,(951) 587 9100,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
PACIFIC WATERPROOFING & RESTORATION INC,,,,(909) 444 3052,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MDB GENERAL ENGINEERING INC,,,,(949) 296 8335,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
UNIVERSAL METRO INC,,,,(562) 906 8484,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A & D FIRE,,,,(858) 277 3473,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SIGN SPECIALISTS CORPORATION,,,,(714) 641 0064,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
KIMBLE AND COMPANY,,,,(714) 894 7310,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SWINERTON BUILDERS,,,,(925) 602 6400,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
DAY STAR INDUSTRIES,,,,(562) 926 8800,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
YOUNGS IRON WORKS INC,,,,(818) 768 3877,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
SCSI PAINTING,,,,(424) 244 1818,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
MUIR-CHASE PLUMBING CO INC,,,,(818) 500 1940,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
JANUS CORPORATION,,,,(925) 969 9200,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
QUALITY PRODUCTION SERVICES INC,,,,(310) 406 3350,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
COMMERCIAL INTERIORS ACOUSTICS INC,,,,(818) 769 2095,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
THERMO TEMP SERVICES INC,,,,(323) 206 7726,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CHAPMAN COAST ROOF CO INC,,,,(714) 738 6611,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
STEEL TECH FABRICATION INC,,,,(909) 428 8630,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
INLAND EMPIRE ARCHITECTURAL SPECIALTIES INC,,,,(951) 781 0700,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
A GOOD SIGN & GRAPHICS CO,,,,(714) 444 4466,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CERAMIC TILE WORKS & DESIGNS INC,,,,(951) 340 9260,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
CONSTRUCTION HARDWARE CO,,,,(909) 594 9093,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
ONYX PAVING COMPANY INC,,,,(714) 632 6699,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
UNITED BROTHERS CONCRETE INC,,,,(760) 343 2861,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
C S GOODALE CO INC,,,,(619) 987 9488,,,,P4027,"28310 VIA JOYCE DR, SANTA CLARITA, CA 91350"
