Category,Attribute,Value
DC File Information,Rotation y,"0°00'00"""
DC File Information,Rotation z,"0°00'00"""
DC File Information,Transformation x,0.000 usft
DC File Information,Transformation y,0.000 usft
DC File Information,Transformation z,0.000 usft
DC File Information,Scale factor,0
DC File Information,Horizontal adjustment,
DC File Information,Origin north,1910513.097 usft
DC File Information,Origin east,6283450.615 usft
DC File Information,Transformation north,0.050 usft
DC File Information,Transformation east,2.564 usft
DC File Information,Rotation about origin,"0°29'52.4538650415"""
DC File Information,Scale factor,0.999989249
DC File Information,Vertical adjustment,
DC File Information,Type,Inclined Plane
DC File Information,Origin north,1910216.499 usft
DC File Information,Origin east,6283457.356 usft
DC File Information,Const adjustment,115.261 usft
DC File Information,Slope north (ppm),-13.043
DC File Information,Slope east (ppm),-54.171
DC File Information,Geoid,---
Project Calibration,Date,5/23/2023
Project Calibration,Time,11:52:29 AM
Project Calibration,Point name,141
Project Calibration,Calibration horizontal residual,0.015 usft
Project Calibration,Calibration vertical residual,0.014 usft
Project Calibration,Latitude,"32°54'17.50395"" N"
Project Calibration,Longitude,"117°09'23.31123"" W"
Project Calibration,Height,286.042 usft
Project Calibration,Northing,1910216.493 usft
Project Calibration,Easting,6283457.369 usft
Project Calibration,Elevation,401.317 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,140
Project Calibration,Calibration horizontal residual,0.011 usft
Project Calibration,Calibration vertical residual,0.028 usft
Project Calibration,Latitude,"32°54'16.27319"" N"
Project Calibration,Longitude,"117°09'21.34205"" W"
Project Calibration,Height,282.760 usft
Project Calibration,Northing,1910090.644 usft
Project Calibration,Easting,6283624.152 usft
Project Calibration,Elevation,398.042 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,104
Project Calibration,Calibration horizontal residual,0.016 usft
Project Calibration,Calibration vertical residual,-0.004 usft
Project Calibration,Latitude,"32°54'14.74221"" N"
Project Calibration,Longitude,"117°09'21.84431"" W"
Project Calibration,Height,278.496 usft
Project Calibration,Northing,1909936.279 usft
Project Calibration,Easting,6283579.984 usft
Project Calibration,Elevation,393.750 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,106
Project Calibration,Calibration horizontal residual,0.018 usft
Project Calibration,Calibration vertical residual,-0.019 usft
Project Calibration,Latitude,"32°54'21.51202"" N"
Project Calibration,Longitude,"117°09'17.04882"" W"
Project Calibration,Height,282.941 usft
Project Calibration,Northing,1910616.935 usft
Project Calibration,Easting,6283994.765 usft
Project Calibration,Elevation,398.148 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,108
Project Calibration,Calibration horizontal residual,0.029 usft
Project Calibration,Calibration vertical residual,0.001 usft
Project Calibration,Latitude,"32°54'24.28734"" N"
Project Calibration,Longitude,"117°09'16.03417"" W"
Project Calibration,Height,272.295 usft
Project Calibration,Northing,1910896.717 usft
Project Calibration,Easting,6284083.710 usft
Project Calibration,Elevation,387.514 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,111
Project Calibration,Calibration horizontal residual,0.015 usft
Project Calibration,Calibration vertical residual,-0.004 usft
Project Calibration,Latitude,"32°54'26.10909"" N"
Project Calibration,Longitude,"117°09'22.99400"" W"
Project Calibration,Height,272.848 usft
Project Calibration,Northing,1911085.951 usft
Project Calibration,Easting,6283491.972 usft
Project Calibration,Elevation,388.091 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,110
Project Calibration,Calibration horizontal residual,0.016 usft
Project Calibration,Calibration vertical residual,0.003 usft
Project Calibration,Latitude,"32°54'25.29690"" N"
Project Calibration,Longitude,"117°09'27.97720"" W"
Project Calibration,Height,272.965 usft
Project Calibration,Northing,1911007.575 usft
Project Calibration,Easting,6283066.393 usft
Project Calibration,Elevation,388.240 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,109
Project Calibration,Calibration horizontal residual,0.005 usft
Project Calibration,Calibration vertical residual,0.009 usft
Project Calibration,Latitude,"32°54'24.87273"" N"
Project Calibration,Longitude,"117°09'29.67705"" W"
Project Calibration,Height,276.066 usft
Project Calibration,Northing,1910965.959 usft
Project Calibration,Easting,6282921.110 usft
Project Calibration,Elevation,391.355 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,114
Project Calibration,Calibration horizontal residual,0.028 usft
Project Calibration,Calibration vertical residual,-0.021 usft
Project Calibration,Latitude,"32°54'15.24056"" N"
Project Calibration,Longitude,"117°09'29.20986"" W"
Project Calibration,Height,279.313 usft
Project Calibration,Northing,1909992.147 usft
Project Calibration,Easting,6282952.475 usft
Project Calibration,Elevation,394.583 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Point name,142
Project Calibration,Calibration horizontal residual,0.032 usft
Project Calibration,Calibration vertical residual,-0.006 usft
Project Calibration,Latitude,"32°54'18.54715"" N"
Project Calibration,Longitude,"117°09'24.46585"" W"
Project Calibration,Height,286.884 usft
Project Calibration,Northing,1910322.767 usft
Project Calibration,Easting,6283359.859 usft
Project Calibration,Elevation,402.142 usft
Project Calibration,Antenna height,6.562 usft
Project Calibration,Use horizontal component,Yes
Project Calibration,Use vertical component,Yes
Project Calibration,Overall horizontal residual,0.020 usft
Project Calibration,Overall vertical residual,0.014 usft
Project Calibration,H scale factor,0.999989249
Project Calibration,Slope north,-13.043
Project Calibration,Slope east,-54.171
Project Calibration,Stored file name,311 Salk Park.dc
Project Calibration,GNSS type used,RTK Fixed
Tilt Compensation,Date,5/23/2023
Tilt Compensation,Time,12:14:48 PM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,5/23/2023
Tilt Compensation,Time,12:16:47 PM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,5/23/2023
Tilt Compensation,Time,1:25:21 PM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,5/23/2023
Tilt Compensation,Time,1:25:27 PM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,5/23/2023
Tilt Compensation,Time,1:26:03 PM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,5/23/2023
Tilt Compensation,Time,1:26:38 PM
Tilt Compensation,Tilt Compensation,Enabled
DC File Information,Date,5/23/2023
DC File Information,Time,1:38:18 PM
DC File Information,Projection,
DC File Information,Type,Transverse Mercator
DC File Information,Origin lat,"32°54'17.50395"" N"
DC File Information,Origin long,"117°09'23.31123"" W"
DC File Information,Origin height,---
DC File Information,Origin north,1910216.493 usft
DC File Information,Origin east,6283457.369 usft
DC File Information,Origin elev,---
DC File Information,Scale factor,1.000013656
DC File Information,Orient1,---
DC File Information,Orient2,---
DC File Information,Datum,
DC File Information,Transformation type,Molodensky
DC File Information,Earth radius,20925604.47
DC File Information,Flattening,298.2572229
DC File Information,Rotation x,"0°00'00"""
DC File Information,Rotation y,"0°00'00"""
DC File Information,Rotation z,"0°00'00"""
DC File Information,Transformation x,0.000 usft
DC File Information,Transformation y,0.000 usft
DC File Information,Transformation z,0.000 usft
DC File Information,Scale factor,0
DC File Information,Horizontal adjustment,
DC File Information,Origin north,1910513.097 usft
DC File Information,Origin east,6283450.615 usft
DC File Information,Transformation north,0.050 usft
DC File Information,Transformation east,2.564 usft
DC File Information,Rotation about origin,"0°29'52.4538650415"""
DC File Information,Scale factor,0.999989249
DC File Information,Vertical adjustment,
DC File Information,Type,Inclined Plane
DC File Information,Origin north,1910216.499 usft
DC File Information,Origin east,6283457.356 usft
DC File Information,Const adjustment,115.261 usft
DC File Information,Slope north (ppm),-13.043
DC File Information,Slope east (ppm),-54.171
DC File Information,Geoid,---
Antenna Height,Date,5/23/2023
Antenna Height,Time,1:59:30 PM
Antenna Height,Measure mode,Walking
Antenna Height,Antenna height,7.500 usft
Antenna Height,Using Quick Release,Yes
Antenna Height,Tilt Compensation,Enabled
DC File Information,Date,5/23/2023
DC File Information,Time,2:13:51 PM
DC File Information,Projection,
DC File Information,Type,Transverse Mercator
DC File Information,Origin lat,"32°54'17.50395"" N"
DC File Information,Origin long,"117°09'23.31123"" W"
DC File Information,Origin height,---
DC File Information,Origin north,1910216.493 usft
DC File Information,Origin east,6283457.369 usft
DC File Information,Origin elev,---
DC File Information,Scale factor,1.000013656
DC File Information,Orient1,---
DC File Information,Orient2,---
DC File Information,Datum,
DC File Information,Transformation type,Molodensky
DC File Information,Earth radius,20925604.47
DC File Information,Flattening,298.2572229
DC File Information,Rotation x,"0°00'00"""
DC File Information,Rotation y,"0°00'00"""
DC File Information,Rotation z,"0°00'00"""
DC File Information,Transformation x,0.000 usft
DC File Information,Transformation y,0.000 usft
DC File Information,Transformation z,0.000 usft
DC File Information,Scale factor,0
DC File Information,Horizontal adjustment,
DC File Information,Origin north,1910513.097 usft
DC File Information,Origin east,6283450.615 usft
DC File Information,Transformation north,0.050 usft
DC File Information,Transformation east,2.564 usft
DC File Information,Rotation about origin,"0°29'52.4538650415"""
DC File Information,Scale factor,0.999989249
DC File Information,Vertical adjustment,
DC File Information,Type,Inclined Plane
DC File Information,Origin north,1910216.499 usft
DC File Information,Origin east,6283457.356 usft
DC File Information,Const adjustment,115.261 usft
DC File Information,Slope north (ppm),-13.043
DC File Information,Slope east (ppm),-54.171
DC File Information,Geoid,---
Antenna Height,Date,5/23/2023
Antenna Height,Time,2:32:10 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Antenna Height,Tilt Compensation,Enabled
Rover Setup,Date,5/24/2023
Rover Setup,Time,7:01:11 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78012"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.022 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/24/2023
Antenna Height,Time,7:01:11 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Base Setup,Date,5/24/2023
Base Setup,Time,7:12:08 AM
Base Setup,Base name,SALK_BASE
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,16
Base Setup,Base ant. height(APC),0.214 usft
Base Setup,Base latitude,"32°54'20.78012"" N"
Base Setup,Base longitude,"117°09'26.18587"" W"
Base Setup,Base height,294.022 usft
Base Setup,Elevation mask,10
Rover Setup,Date,5/24/2023
Rover Setup,Time,7:13:04 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/24/2023
Antenna Height,Time,7:13:04 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/24/2023
Rover Setup,Time,8:10:44 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/24/2023
Antenna Height,Time,8:10:44 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/24/2023
Rover Setup,Time,11:08:14 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/24/2023
Antenna Height,Time,11:08:14 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/24/2023
Rover Setup,Time,1:09:42 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/24/2023
Antenna Height,Time,1:09:42 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/25/2023
Rover Setup,Time,6:55:35 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/25/2023
Antenna Height,Time,6:55:35 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/25/2023
Rover Setup,Time,12:59:02 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/25/2023
Antenna Height,Time,12:59:02 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/26/2023
Rover Setup,Time,7:05:02 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/26/2023
Antenna Height,Time,7:05:02 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/30/2023
Rover Setup,Time,7:00:00 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/30/2023
Antenna Height,Time,7:00:00 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/30/2023
Rover Setup,Time,2:10:57 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/30/2023
Antenna Height,Time,2:10:57 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,5/31/2023
Rover Setup,Time,6:54:39 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,5/31/2023
Antenna Height,Time,6:54:39 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/1/2023
Rover Setup,Time,7:03:07 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/1/2023
Antenna Height,Time,7:03:07 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/2/2023
Rover Setup,Time,7:40:49 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/2/2023
Antenna Height,Time,7:40:49 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/5/2023
Rover Setup,Time,7:22:38 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/5/2023
Antenna Height,Time,7:22:38 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/5/2023
Rover Setup,Time,1:14:43 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/5/2023
Antenna Height,Time,1:14:43 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/6/2023
Rover Setup,Time,7:28:20 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/6/2023
Antenna Height,Time,7:28:20 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/6/2023
Rover Setup,Time,1:12:19 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/6/2023
Antenna Height,Time,1:12:19 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/7/2023
Rover Setup,Time,7:01:05 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/7/2023
Antenna Height,Time,7:01:05 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/7/2023
Rover Setup,Time,1:04:08 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/7/2023
Antenna Height,Time,1:04:08 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,6/8/2023
Rover Setup,Time,7:30:34 AM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'20.78013"" N"
Rover Setup,Base longitude,"117°09'26.18587"" W"
Rover Setup,Base height,294.023 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,6/8/2023
Antenna Height,Time,7:30:34 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
DC File Information,Date,6/8/2023
DC File Information,Time,7:36:49 AM
DC File Information,Projection,
DC File Information,Type,Transverse Mercator
DC File Information,Origin lat,"32°54'17.50395"" N"
DC File Information,Origin long,"117°09'23.31123"" W"
DC File Information,Origin height,---
DC File Information,Origin north,1910216.493 usft
DC File Information,Origin east,6283457.369 usft
DC File Information,Origin elev,---
DC File Information,Scale factor,1.000013656
DC File Information,Orient1,---
DC File Information,Orient2,---
DC File Information,Datum,
DC File Information,Transformation type,Molodensky
DC File Information,Earth radius,20925604.47
DC File Information,Flattening,298.2572229
DC File Information,Rotation x,"0°00'00"""
DC File Information,Rotation y,"0°00'00"""
DC File Information,Rotation z,"0°00'00"""
DC File Information,Transformation x,0.000 usft
DC File Information,Transformation y,0.000 usft
DC File Information,Transformation z,0.000 usft
DC File Information,Scale factor,0
DC File Information,Horizontal adjustment,
DC File Information,Origin north,1910513.097 usft
DC File Information,Origin east,6283450.615 usft
DC File Information,Transformation north,0.050 usft
DC File Information,Transformation east,2.564 usft
DC File Information,Rotation about origin,"0°29'52.4538650415"""
DC File Information,Scale factor,0.999989249
DC File Information,Vertical adjustment,
DC File Information,Type,Inclined Plane
DC File Information,Origin north,1910216.499 usft
DC File Information,Origin east,6283457.356 usft
DC File Information,Const adjustment,115.261 usft
DC File Information,Slope north (ppm),-13.043
DC File Information,Slope east (ppm),-54.171
DC File Information,Geoid,---
Antenna Height,Date,6/8/2023
Antenna Height,Time,9:37:22 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Antenna Height,Tilt Compensation,Enabled
Rover Setup,Date,6/8/2023
Rover Setup,Time,1:00:18 PM
Rover Setup,Base name,SALK_BASE
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,16
Rover Setup,Antenna height,6.562 usft
